time,f1_c,f1_a,f1_s,f1_d,f2_c,f2_a,f2_s,f2_d,prg_c,prg_a,prg_s,prg_d,prd_c,prd_a,prd_s,prd_d,pr_s,pr_d,lq_s,lq_d,cmp_a_s,cmp_a_d,cmp_b_s,cmp_b_d,cmp_c_s,cmp_c_d
0.0000,0,0,0,0,1851,1831,155,0,0,0,0,0,50522,51872,21637,0,53281,0,28700,0,30781,0,1186,0,33567,0
0.1083,0,0,0,0,1851,1831,155,0,0,0,0,0,50522,51872,21637,0,53281,0,28700,0,30781,0,1186,0,33567,0
0.2103,0,0,0,0,1851,1831,155,0,0,0,0,0,50522,51872,21637,0,53281,0,28700,0,30781,0,1186,0,33567,0
0.3121,0,0,0,0,1851,1831,155,0,0,0,0,0,50522,51872,21637,0,53281,0,28700,0,30781,0,1186,0,33567,0
0.4141,0,0,0,0,1851,1831,155,0,0,0,0,0,50522,51872,21637,0,53281,0,28700,0,30781,0,1186,0,33567,0
0.5164,0,0,0,0,1851,1831,155,0,0,0,0,0,50522,51872,21637,0,53281,0,28700,0,30781,0,1186,0,33567,0
0.6187,0,0,0,0,1873,1851,157,2,0,0,0,0,49122,50522,21067,-570,53246,-35,28695,-5,30779,-2,1186,0,33568,1
0.7203,0,0,0,0,1873,1851,157,0,0,0,0,0,49122,50522,21067,0,53246,0,28695,0,30779,0,1186,0,33568,0
0.8227,0,0,0,0,1873,1851,157,0,0,0,0,0,49122,50522,21067,0,53246,0,28695,0,30779,0,1186,0,33568,0
0.9250,0,0,0,0,1873,1851,157,0,0,0,0,0,49122,50522,21067,0,53246,0,28695,0,30779,0,1186,0,33568,0
1.0273,0,0,0,0,1873,1851,157,0,0,0,0,0,49122,50522,21067,0,53246,0,28695,0,30779,0,1186,0,33568,0
1.1296,0,0,0,0,1873,1851,157,0,0,0,0,0,49122,50522,21067,0,53246,0,28695,0,30779,0,1186,0,33568,0
1.2315,0,0,0,0,1873,1851,157,0,0,0,0,0,49122,50522,21067,0,53246,0,28695,0,30779,0,1186,0,33568,0
1.3332,0,0,0,0,1873,1851,157,0,0,0,0,0,49122,50522,21067,0,53246,0,28695,0,30779,0,1186,0,33568,0
1.4355,0,0,0,0,1873,1851,157,0,0,0,0,0,49122,50522,21067,0,53246,0,28695,0,30779,0,1186,0,33568,0
1.5378,0,0,0,0,1873,1851,157,0,0,0,0,0,49122,50522,21067,0,53246,0,28695,0,30779,0,1186,0,33568,0
1.6400,0,0,0,0,1896,1873,159,2,0,0,0,0,47682,49122,20476,-591,53211,-35,28691,-4,30778,-1,1187,1,33568,0
1.7423,0,0,0,0,1896,1873,159,0,0,0,0,0,47682,49122,20476,0,53211,0,28691,0,30778,0,1187,0,33568,0
1.8446,0,0,0,0,1896,1873,159,0,0,0,0,0,47682,49122,20476,0,53211,0,28691,0,30778,0,1187,0,33568,0
